{'total_loss': 608.2489, 'time_loss': 237.60977, 'mark_loss': 370.63913, 'iter': 0}
{'total_loss': 601.86707, 'time_loss': 236.39908, 'mark_loss': 365.46799, 'iter': 1}
{'total_loss': 598.55371, 'time_loss': 236.05026, 'mark_loss': 362.50345, 'iter': 2}
{'total_loss': 596.14343, 'time_loss': 235.91037, 'mark_loss': 360.23306, 'iter': 3}
{'total_loss': 594.95502, 'time_loss': 236.09882, 'mark_loss': 358.8562, 'iter': 4}
{'total_loss': 591.59082, 'time_loss': 235.81946, 'mark_loss': 355.77136, 'iter': 5}
{'total_loss': 589.34021, 'time_loss': 235.6427, 'mark_loss': 353.69751, 'iter': 6}
{'total_loss': 587.3866, 'time_loss': 235.40048, 'mark_loss': 351.98611, 'iter': 7}
{'total_loss': 585.66754, 'time_loss': 235.62711, 'mark_loss': 350.04044, 'iter': 8}
{'total_loss': 583.6908, 'time_loss': 235.44666, 'mark_loss': 348.24414, 'iter': 9}
{'total_loss': 582.90887, 'time_loss': 235.16882, 'mark_loss': 347.74005, 'iter': 10}
{'total_loss': 580.09497, 'time_loss': 234.93704, 'mark_loss': 345.15793, 'iter': 11}
{'total_loss': 578.52692, 'time_loss': 234.81714, 'mark_loss': 343.70978, 'iter': 12}
{'total_loss': 577.28857, 'time_loss': 235.21738, 'mark_loss': 342.0712, 'iter': 13}
{'total_loss': 575.61255, 'time_loss': 234.97754, 'mark_loss': 340.63501, 'iter': 14}
{'total_loss': 575.77954, 'time_loss': 235.54745, 'mark_loss': 340.23209, 'iter': 15}
{'total_loss': 571.62762, 'time_loss': 234.28894, 'mark_loss': 337.33868, 'iter': 16}
{'total_loss': 570.47961, 'time_loss': 234.37219, 'mark_loss': 336.10742, 'iter': 17}
{'total_loss': 570.81805, 'time_loss': 235.06256, 'mark_loss': 335.75549, 'iter': 18}
{'total_loss': 567.25537, 'time_loss': 234.00641, 'mark_loss': 333.24896, 'iter': 19}
{'total_loss': 565.7699, 'time_loss': 233.92517, 'mark_loss': 331.84473, 'iter': 20}
{'total_loss': 563.72089, 'time_loss': 233.83734, 'mark_loss': 329.88354, 'iter': 21}
{'total_loss': 562.6687, 'time_loss': 233.91217, 'mark_loss': 328.75653, 'iter': 22}
{'total_loss': 563.47046, 'time_loss': 234.83148, 'mark_loss': 328.63898, 'iter': 23}
{'total_loss': 559.79761, 'time_loss': 233.85956, 'mark_loss': 325.93805, 'iter': 24}
{'total_loss': 558.13245, 'time_loss': 233.35529, 'mark_loss': 324.77716, 'iter': 25}
{'total_loss': 556.77405, 'time_loss': 233.35764, 'mark_loss': 323.41641, 'iter': 26}
{'total_loss': 555.47058, 'time_loss': 233.46988, 'mark_loss': 322.0007, 'iter': 27}
{'total_loss': 554.33942, 'time_loss': 233.53058, 'mark_loss': 320.80884, 'iter': 28}
{'total_loss': 552.25146, 'time_loss': 233.1308, 'mark_loss': 319.12067, 'iter': 29}
{'total_loss': 551.93872, 'time_loss': 233.31027, 'mark_loss': 318.62845, 'iter': 30}
{'total_loss': 549.96643, 'time_loss': 233.48254, 'mark_loss': 316.48389, 'iter': 31}
{'total_loss': 548.21454, 'time_loss': 233.22522, 'mark_loss': 314.98932, 'iter': 32}
{'total_loss': 546.59937, 'time_loss': 233.04315, 'mark_loss': 313.55621, 'iter': 33}
{'total_loss': 544.84161, 'time_loss': 232.68124, 'mark_loss': 312.16037, 'iter': 34}
{'total_loss': 543.60919, 'time_loss': 232.56213, 'mark_loss': 311.04706, 'iter': 35}
{'total_loss': 542.47302, 'time_loss': 232.85583, 'mark_loss': 309.61719, 'iter': 36}
{'total_loss': 541.22913, 'time_loss': 232.8345, 'mark_loss': 308.39462, 'iter': 37}
{'total_loss': 539.71631, 'time_loss': 232.71936, 'mark_loss': 306.99695, 'iter': 38}
{'total_loss': 539.69104, 'time_loss': 232.91876, 'mark_loss': 306.77228, 'iter': 39}
{'total_loss': 536.38428, 'time_loss': 231.90775, 'mark_loss': 304.47653, 'iter': 40}
{'total_loss': 535.73267, 'time_loss': 232.3631, 'mark_loss': 303.36957, 'iter': 41}
{'total_loss': 534.005, 'time_loss': 232.15573, 'mark_loss': 301.84927, 'iter': 42}
{'total_loss': 532.24402, 'time_loss': 231.9043, 'mark_loss': 300.33972, 'iter': 43}
{'total_loss': 531.92035, 'time_loss': 232.00891, 'mark_loss': 299.91144, 'iter': 44}
{'total_loss': 531.7276, 'time_loss': 232.78769, 'mark_loss': 298.93991, 'iter': 45}
{'total_loss': 528.08301, 'time_loss': 231.57468, 'mark_loss': 296.50833, 'iter': 46}
{'total_loss': 526.77887, 'time_loss': 231.57468, 'mark_loss': 295.20419, 'iter': 47}
{'total_loss': 526.76636, 'time_loss': 232.00934, 'mark_loss': 294.75702, 'iter': 48}
{'total_loss': 523.98474, 'time_loss': 231.48438, 'mark_loss': 292.50037, 'iter': 49}
{'total_loss': 522.9267, 'time_loss': 231.57816, 'mark_loss': 291.34854, 'iter': 50}
{'total_loss': 521.58179, 'time_loss': 231.38104, 'mark_loss': 290.20074, 'iter': 51}
{'total_loss': 519.67731, 'time_loss': 230.81458, 'mark_loss': 288.86273, 'iter': 52}
{'total_loss': 518.57111, 'time_loss': 231.28101, 'mark_loss': 287.2901, 'iter': 53}
{'total_loss': 519.08368, 'time_loss': 231.82166, 'mark_loss': 287.26202, 'iter': 54}
{'total_loss': 516.40149, 'time_loss': 231.05875, 'mark_loss': 285.34274, 'iter': 55}
{'total_loss': 516.85187, 'time_loss': 232.28113, 'mark_loss': 284.57074, 'iter': 56}
{'total_loss': 512.93689, 'time_loss': 230.66699, 'mark_loss': 282.2699, 'iter': 57}
{'total_loss': 512.55176, 'time_loss': 230.99213, 'mark_loss': 281.55963, 'iter': 58}
{'total_loss': 509.97174, 'time_loss': 230.52386, 'mark_loss': 279.44788, 'iter': 59}
{'total_loss': 509.18091, 'time_loss': 230.76105, 'mark_loss': 278.41986, 'iter': 60}
{'total_loss': 507.99557, 'time_loss': 230.741, 'mark_loss': 277.25458, 'iter': 61}
{'total_loss': 507.91522, 'time_loss': 231.12103, 'mark_loss': 276.79419, 'iter': 62}
{'total_loss': 504.91324, 'time_loss': 230.52991, 'mark_loss': 274.38333, 'iter': 63}
{'total_loss': 505.46759, 'time_loss': 231.18524, 'mark_loss': 274.28235, 'iter': 64}
{'total_loss': 502.37408, 'time_loss': 230.34094, 'mark_loss': 272.03314, 'iter': 65}
{'total_loss': 502.92886, 'time_loss': 230.92685, 'mark_loss': 272.00201, 'iter': 66}
{'total_loss': 499.59457, 'time_loss': 230.22604, 'mark_loss': 269.36853, 'iter': 67}
{'total_loss': 497.66446, 'time_loss': 229.57736, 'mark_loss': 268.0871, 'iter': 68}
{'total_loss': 496.6759, 'time_loss': 229.82788, 'mark_loss': 266.84802, 'iter': 69}
{'total_loss': 495.31635, 'time_loss': 229.97327, 'mark_loss': 265.34308, 'iter': 70}
{'total_loss': 493.99243, 'time_loss': 229.5137, 'mark_loss': 264.47873, 'iter': 71}
{'total_loss': 492.72061, 'time_loss': 229.61661, 'mark_loss': 263.104, 'iter': 72}
{'total_loss': 491.36768, 'time_loss': 229.35583, 'mark_loss': 262.01184, 'iter': 73}
{'total_loss': 489.28381, 'time_loss': 228.7446, 'mark_loss': 260.53922, 'iter': 74}
{'total_loss': 488.31259, 'time_loss': 229.05917, 'mark_loss': 259.25342, 'iter': 75}
{'total_loss': 487.25098, 'time_loss': 228.89148, 'mark_loss': 258.3595, 'iter': 76}
{'total_loss': 486.05127, 'time_loss': 228.95905, 'mark_loss': 257.09222, 'iter': 77}
{'total_loss': 486.09814, 'time_loss': 229.22229, 'mark_loss': 256.87585, 'iter': 78}
{'total_loss': 483.39734, 'time_loss': 228.67888, 'mark_loss': 254.71846, 'iter': 79}
{'total_loss': 481.87177, 'time_loss': 228.82071, 'mark_loss': 253.05106, 'iter': 80}
{'total_loss': 480.89447, 'time_loss': 228.47449, 'mark_loss': 252.41998, 'iter': 81}
{'total_loss': 478.99481, 'time_loss': 228.39267, 'mark_loss': 250.60214, 'iter': 82}
{'total_loss': 477.54013, 'time_loss': 228.27039, 'mark_loss': 249.26974, 'iter': 83}
{'total_loss': 476.08435, 'time_loss': 227.83517, 'mark_loss': 248.24918, 'iter': 84}
{'total_loss': 477.4151, 'time_loss': 229.0448, 'mark_loss': 248.3703, 'iter': 85}
{'total_loss': 473.70917, 'time_loss': 227.54507, 'mark_loss': 246.16409, 'iter': 86}
{'total_loss': 472.28082, 'time_loss': 227.78607, 'mark_loss': 244.49475, 'iter': 87}
{'total_loss': 470.7428, 'time_loss': 227.62894, 'mark_loss': 243.11386, 'iter': 88}
{'total_loss': 470.00818, 'time_loss': 227.8203, 'mark_loss': 242.18788, 'iter': 89}
{'total_loss': 468.51831, 'time_loss': 227.51569, 'mark_loss': 241.00262, 'iter': 90}
{'total_loss': 467.03326, 'time_loss': 227.46091, 'mark_loss': 239.57236, 'iter': 91}
{'total_loss': 465.64117, 'time_loss': 227.03705, 'mark_loss': 238.60413, 'iter': 92}
{'total_loss': 464.0538, 'time_loss': 227.09192, 'mark_loss': 236.96188, 'iter': 93}
{'total_loss': 462.90717, 'time_loss': 226.67059, 'mark_loss': 236.23657, 'iter': 94}
{'total_loss': 462.22025, 'time_loss': 227.35571, 'mark_loss': 234.86453, 'iter': 95}
{'total_loss': 460.48364, 'time_loss': 226.95953, 'mark_loss': 233.52411, 'iter': 96}
{'total_loss': 459.17004, 'time_loss': 226.7411, 'mark_loss': 232.42894, 'iter': 97}
{'total_loss': 457.84357, 'time_loss': 226.38043, 'mark_loss': 231.46313, 'iter': 98}
{'total_loss': 455.97247, 'time_loss': 225.92113, 'mark_loss': 230.05135, 'iter': 99}
{'total_loss': 457.31235, 'time_loss': 227.44783, 'mark_loss': 229.86452, 'iter': 100}
{'total_loss': 453.76065, 'time_loss': 226.12303, 'mark_loss': 227.63762, 'iter': 101}
{'total_loss': 452.56519, 'time_loss': 226.38745, 'mark_loss': 226.17773, 'iter': 102}
{'total_loss': 450.99875, 'time_loss': 226.10068, 'mark_loss': 224.89807, 'iter': 103}
{'total_loss': 450.15866, 'time_loss': 226.23918, 'mark_loss': 223.91948, 'iter': 104}
{'total_loss': 448.30112, 'time_loss': 225.64998, 'mark_loss': 222.65114, 'iter': 105}
{'total_loss': 447.35577, 'time_loss': 225.55627, 'mark_loss': 221.7995, 'iter': 106}
{'total_loss': 446.11127, 'time_loss': 225.65805, 'mark_loss': 220.45322, 'iter': 107}
{'total_loss': 444.99554, 'time_loss': 225.63684, 'mark_loss': 219.3587, 'iter': 108}
{'total_loss': 443.49878, 'time_loss': 225.43008, 'mark_loss': 218.0687, 'iter': 109}
{'total_loss': 441.9549, 'time_loss': 225.25269, 'mark_loss': 216.70221, 'iter': 110}
{'total_loss': 441.50012, 'time_loss': 225.53574, 'mark_loss': 215.96439, 'iter': 111}
{'total_loss': 440.66846, 'time_loss': 225.32536, 'mark_loss': 215.34309, 'iter': 112}
{'total_loss': 438.44919, 'time_loss': 225.30081, 'mark_loss': 213.14838, 'iter': 113}
{'total_loss': 437.22064, 'time_loss': 224.84009, 'mark_loss': 212.38055, 'iter': 114}
{'total_loss': 438.09726, 'time_loss': 226.00919, 'mark_loss': 212.08807, 'iter': 115}
{'total_loss': 434.30042, 'time_loss': 224.46146, 'mark_loss': 209.83896, 'iter': 116}
{'total_loss': 433.26804, 'time_loss': 224.62854, 'mark_loss': 208.6395, 'iter': 117}
{'total_loss': 431.65454, 'time_loss': 224.35397, 'mark_loss': 207.30057, 'iter': 118}
{'total_loss': 430.30786, 'time_loss': 224.06531, 'mark_loss': 206.24255, 'iter': 119}
{'total_loss': 429.44287, 'time_loss': 224.27809, 'mark_loss': 205.16478, 'iter': 120}
{'total_loss': 428.31296, 'time_loss': 224.46008, 'mark_loss': 203.85287, 'iter': 121}
{'total_loss': 426.62021, 'time_loss': 223.95845, 'mark_loss': 202.66176, 'iter': 122}
{'total_loss': 427.35318, 'time_loss': 224.87805, 'mark_loss': 202.47513, 'iter': 123}
{'total_loss': 424.20721, 'time_loss': 223.77798, 'mark_loss': 200.42923, 'iter': 124}
{'total_loss': 422.47998, 'time_loss': 223.48172, 'mark_loss': 198.99826, 'iter': 125}
{'total_loss': 421.6716, 'time_loss': 223.64729, 'mark_loss': 198.02431, 'iter': 126}
{'total_loss': 419.23798, 'time_loss': 222.82913, 'mark_loss': 196.40884, 'iter': 127}
{'total_loss': 418.86163, 'time_loss': 222.85962, 'mark_loss': 196.00201, 'iter': 128}
{'total_loss': 417.56937, 'time_loss': 223.12921, 'mark_loss': 194.44016, 'iter': 129}
{'total_loss': 416.39966, 'time_loss': 223.16919, 'mark_loss': 193.23047, 'iter': 130}
{'total_loss': 414.5531, 'time_loss': 222.87062, 'mark_loss': 191.68248, 'iter': 131}
{'total_loss': 414.16342, 'time_loss': 222.95316, 'mark_loss': 191.21027, 'iter': 132}
{'total_loss': 412.42072, 'time_loss': 222.89212, 'mark_loss': 189.52859, 'iter': 133}
