{'total_loss': 660.63818, 'time_loss': 248.85684, 'mark_loss': 411.78134, 'iter': 0}
{'total_loss': 655.81952, 'time_loss': 247.4017, 'mark_loss': 408.41782, 'iter': 1}
{'total_loss': 653.5033, 'time_loss': 247.24408, 'mark_loss': 406.25922, 'iter': 2}
{'total_loss': 649.29663, 'time_loss': 246.379, 'mark_loss': 402.91763, 'iter': 3}
{'total_loss': 648.27814, 'time_loss': 246.88098, 'mark_loss': 401.39716, 'iter': 4}
{'total_loss': 646.19989, 'time_loss': 246.67834, 'mark_loss': 399.52155, 'iter': 5}
{'total_loss': 643.79126, 'time_loss': 245.77197, 'mark_loss': 398.01929, 'iter': 6}
{'total_loss': 643.11578, 'time_loss': 246.50317, 'mark_loss': 396.61261, 'iter': 7}
{'total_loss': 641.63477, 'time_loss': 246.47095, 'mark_loss': 395.16382, 'iter': 8}
{'total_loss': 639.58691, 'time_loss': 245.85992, 'mark_loss': 393.72699, 'iter': 9}
{'total_loss': 638.43311, 'time_loss': 246.00562, 'mark_loss': 392.42749, 'iter': 10}
{'total_loss': 638.00909, 'time_loss': 245.83093, 'mark_loss': 392.17816, 'iter': 11}
{'total_loss': 635.91986, 'time_loss': 245.93097, 'mark_loss': 389.98889, 'iter': 12}
{'total_loss': 634.59491, 'time_loss': 245.82086, 'mark_loss': 388.77405, 'iter': 13}
{'total_loss': 632.63824, 'time_loss': 245.30164, 'mark_loss': 387.33661, 'iter': 14}
{'total_loss': 631.61597, 'time_loss': 245.50137, 'mark_loss': 386.11459, 'iter': 15}
{'total_loss': 632.23218, 'time_loss': 246.00891, 'mark_loss': 386.22327, 'iter': 16}
{'total_loss': 628.65759, 'time_loss': 244.85919, 'mark_loss': 383.7984, 'iter': 17}
{'total_loss': 627.49316, 'time_loss': 244.98688, 'mark_loss': 382.50629, 'iter': 18}
{'total_loss': 625.86224, 'time_loss': 244.55557, 'mark_loss': 381.30667, 'iter': 19}
{'total_loss': 624.5885, 'time_loss': 244.54279, 'mark_loss': 380.04572, 'iter': 20}
{'total_loss': 623.52417, 'time_loss': 244.55911, 'mark_loss': 378.96506, 'iter': 21}
{'total_loss': 622.15576, 'time_loss': 244.36664, 'mark_loss': 377.78912, 'iter': 22}
{'total_loss': 620.77386, 'time_loss': 244.08875, 'mark_loss': 376.68512, 'iter': 23}
{'total_loss': 621.15747, 'time_loss': 244.39688, 'mark_loss': 376.76059, 'iter': 24}
{'total_loss': 618.52826, 'time_loss': 244.2019, 'mark_loss': 374.32635, 'iter': 25}
{'total_loss': 618.02612, 'time_loss': 243.90152, 'mark_loss': 374.1246, 'iter': 26}
{'total_loss': 615.83282, 'time_loss': 243.80237, 'mark_loss': 372.03046, 'iter': 27}
{'total_loss': 616.51648, 'time_loss': 244.18237, 'mark_loss': 372.33411, 'iter': 28}
{'total_loss': 612.85327, 'time_loss': 243.10553, 'mark_loss': 369.74774, 'iter': 29}
{'total_loss': 611.97278, 'time_loss': 243.38843, 'mark_loss': 368.58435, 'iter': 30}
{'total_loss': 610.4436, 'time_loss': 242.96597, 'mark_loss': 367.47763, 'iter': 31}
{'total_loss': 609.86682, 'time_loss': 243.40228, 'mark_loss': 366.46454, 'iter': 32}
{'total_loss': 608.09631, 'time_loss': 242.93805, 'mark_loss': 365.15826, 'iter': 33}
{'total_loss': 606.83423, 'time_loss': 242.76367, 'mark_loss': 364.07056, 'iter': 34}
{'total_loss': 606.08459, 'time_loss': 243.10355, 'mark_loss': 362.98105, 'iter': 35}
{'total_loss': 604.57971, 'time_loss': 242.69208, 'mark_loss': 361.88763, 'iter': 36}
{'total_loss': 602.86444, 'time_loss': 242.21289, 'mark_loss': 360.65155, 'iter': 37}
{'total_loss': 602.51184, 'time_loss': 241.98175, 'mark_loss': 360.53009, 'iter': 38}
{'total_loss': 602.51782, 'time_loss': 242.78796, 'mark_loss': 359.72986, 'iter': 39}
{'total_loss': 603.01385, 'time_loss': 243.48468, 'mark_loss': 359.52917, 'iter': 40}
{'total_loss': 598.29785, 'time_loss': 242.05759, 'mark_loss': 356.24026, 'iter': 41}
{'total_loss': 597.08606, 'time_loss': 241.99121, 'mark_loss': 355.09485, 'iter': 42}
{'total_loss': 595.42236, 'time_loss': 241.43491, 'mark_loss': 353.98746, 'iter': 43}
{'total_loss': 594.37402, 'time_loss': 241.51202, 'mark_loss': 352.862, 'iter': 44}
{'total_loss': 595.52905, 'time_loss': 242.50946, 'mark_loss': 353.01959, 'iter': 45}
{'total_loss': 591.90375, 'time_loss': 241.27603, 'mark_loss': 350.62772, 'iter': 46}
{'total_loss': 591.61249, 'time_loss': 241.2066, 'mark_loss': 350.40588, 'iter': 47}
{'total_loss': 591.63, 'time_loss': 241.95679, 'mark_loss': 349.67322, 'iter': 48}
{'total_loss': 588.23279, 'time_loss': 240.94788, 'mark_loss': 347.28491, 'iter': 49}
{'total_loss': 586.8244, 'time_loss': 240.66956, 'mark_loss': 346.15485, 'iter': 50}
{'total_loss': 585.65515, 'time_loss': 240.59155, 'mark_loss': 345.0636, 'iter': 51}
{'total_loss': 584.91608, 'time_loss': 240.21405, 'mark_loss': 344.70203, 'iter': 52}
{'total_loss': 582.88214, 'time_loss': 240.11102, 'mark_loss': 342.77112, 'iter': 53}
{'total_loss': 584.38654, 'time_loss': 240.66064, 'mark_loss': 343.72589, 'iter': 54}
{'total_loss': 581.23785, 'time_loss': 239.86517, 'mark_loss': 341.37268, 'iter': 55}
{'total_loss': 579.68823, 'time_loss': 240.21216, 'mark_loss': 339.47607, 'iter': 56}
{'total_loss': 578.02405, 'time_loss': 239.74152, 'mark_loss': 338.28253, 'iter': 57}
{'total_loss': 578.98724, 'time_loss': 240.5697, 'mark_loss': 338.41754, 'iter': 58}
{'total_loss': 576.23132, 'time_loss': 240.08551, 'mark_loss': 336.14581, 'iter': 59}
{'total_loss': 574.55267, 'time_loss': 239.54761, 'mark_loss': 335.00507, 'iter': 60}
{'total_loss': 573.40088, 'time_loss': 239.52222, 'mark_loss': 333.87866, 'iter': 61}
{'total_loss': 572.67029, 'time_loss': 239.10394, 'mark_loss': 333.56635, 'iter': 62}
{'total_loss': 571.66492, 'time_loss': 239.21667, 'mark_loss': 332.44824, 'iter': 63}
{'total_loss': 571.73804, 'time_loss': 240.06302, 'mark_loss': 331.67502, 'iter': 64}
{'total_loss': 570.46277, 'time_loss': 239.82376, 'mark_loss': 330.63901, 'iter': 65}
{'total_loss': 569.0014, 'time_loss': 239.56274, 'mark_loss': 329.43866, 'iter': 66}
{'total_loss': 565.89777, 'time_loss': 238.67969, 'mark_loss': 327.21808, 'iter': 67}
{'total_loss': 564.29022, 'time_loss': 238.2041, 'mark_loss': 326.08612, 'iter': 68}
{'total_loss': 563.10327, 'time_loss': 238.1275, 'mark_loss': 324.97577, 'iter': 69}
{'total_loss': 562.18176, 'time_loss': 238.3252, 'mark_loss': 323.85657, 'iter': 70}
{'total_loss': 562.9834, 'time_loss': 239.12781, 'mark_loss': 323.85559, 'iter': 71}
{'total_loss': 559.31927, 'time_loss': 237.6781, 'mark_loss': 321.64117, 'iter': 72}
{'total_loss': 558.04749, 'time_loss': 237.55298, 'mark_loss': 320.49451, 'iter': 73}
{'total_loss': 557.20276, 'time_loss': 237.76846, 'mark_loss': 319.4343, 'iter': 74}
{'total_loss': 556.20325, 'time_loss': 237.87073, 'mark_loss': 318.33252, 'iter': 75}
{'total_loss': 554.16046, 'time_loss': 237.00323, 'mark_loss': 317.15723, 'iter': 76}
{'total_loss': 554.04944, 'time_loss': 237.19165, 'mark_loss': 316.85779, 'iter': 77}
{'total_loss': 551.58514, 'time_loss': 236.61603, 'mark_loss': 314.96912, 'iter': 78}
{'total_loss': 550.86304, 'time_loss': 236.98425, 'mark_loss': 313.87878, 'iter': 79}
{'total_loss': 549.44464, 'time_loss': 236.6636, 'mark_loss': 312.78104, 'iter': 80}
{'total_loss': 548.43054, 'time_loss': 236.76483, 'mark_loss': 311.66571, 'iter': 81}
{'total_loss': 546.39343, 'time_loss': 235.85016, 'mark_loss': 310.54327, 'iter': 82}
{'total_loss': 545.89252, 'time_loss': 236.53082, 'mark_loss': 309.36169, 'iter': 83}
{'total_loss': 545.48206, 'time_loss': 236.41422, 'mark_loss': 309.06784, 'iter': 84}
{'total_loss': 544.18549, 'time_loss': 236.21451, 'mark_loss': 307.97098, 'iter': 85}
{'total_loss': 541.99164, 'time_loss': 235.87445, 'mark_loss': 306.11719, 'iter': 86}
{'total_loss': 542.26404, 'time_loss': 236.17651, 'mark_loss': 306.08752, 'iter': 87}
{'total_loss': 539.51337, 'time_loss': 235.63971, 'mark_loss': 303.87366, 'iter': 88}
{'total_loss': 538.11462, 'time_loss': 235.31921, 'mark_loss': 302.79541, 'iter': 89}
{'total_loss': 536.70343, 'time_loss': 235.01062, 'mark_loss': 301.69281, 'iter': 90}
{'total_loss': 537.31696, 'time_loss': 235.68213, 'mark_loss': 301.63483, 'iter': 91}
{'total_loss': 534.05066, 'time_loss': 234.66248, 'mark_loss': 299.38818, 'iter': 92}
{'total_loss': 533.36023, 'time_loss': 234.99487, 'mark_loss': 298.36536, 'iter': 93}
{'total_loss': 533.44073, 'time_loss': 235.16351, 'mark_loss': 298.27722, 'iter': 94}
{'total_loss': 532.62195, 'time_loss': 235.41272, 'mark_loss': 297.20923, 'iter': 95}
{'total_loss': 531.71478, 'time_loss': 235.57635, 'mark_loss': 296.13843, 'iter': 96}
{'total_loss': 528.16467, 'time_loss': 234.22244, 'mark_loss': 293.94223, 'iter': 97}
{'total_loss': 528.45813, 'time_loss': 234.55505, 'mark_loss': 293.90308, 'iter': 98}
{'total_loss': 525.47217, 'time_loss': 233.73492, 'mark_loss': 291.73724, 'iter': 99}
{'total_loss': 524.77588, 'time_loss': 234.0903, 'mark_loss': 290.68558, 'iter': 100}
{'total_loss': 523.3313, 'time_loss': 233.7536, 'mark_loss': 289.5777, 'iter': 101}
{'total_loss': 521.67938, 'time_loss': 233.23428, 'mark_loss': 288.4451, 'iter': 102}
{'total_loss': 520.53357, 'time_loss': 233.17041, 'mark_loss': 287.36316, 'iter': 103}
{'total_loss': 519.46313, 'time_loss': 233.1803, 'mark_loss': 286.28284, 'iter': 104}
{'total_loss': 518.13354, 'time_loss': 232.98965, 'mark_loss': 285.14389, 'iter': 105}
{'total_loss': 516.76013, 'time_loss': 232.71002, 'mark_loss': 284.05011, 'iter': 106}
{'total_loss': 517.80768, 'time_loss': 233.86688, 'mark_loss': 283.9408, 'iter': 107}
{'total_loss': 514.63702, 'time_loss': 232.76233, 'mark_loss': 281.87469, 'iter': 108}
{'total_loss': 513.18567, 'time_loss': 232.42599, 'mark_loss': 280.75967, 'iter': 109}
{'total_loss': 511.90726, 'time_loss': 232.26031, 'mark_loss': 279.64694, 'iter': 110}
{'total_loss': 510.40149, 'time_loss': 231.84851, 'mark_loss': 278.55298, 'iter': 111}
{'total_loss': 509.50565, 'time_loss': 232.04065, 'mark_loss': 277.465, 'iter': 112}
{'total_loss': 509.15186, 'time_loss': 232.21494, 'mark_loss': 276.93692, 'iter': 113}
{'total_loss': 506.82208, 'time_loss': 231.55359, 'mark_loss': 275.26849, 'iter': 114}
{'total_loss': 505.68307, 'time_loss': 231.49625, 'mark_loss': 274.18683, 'iter': 115}
{'total_loss': 504.17596, 'time_loss': 231.11682, 'mark_loss': 273.05914, 'iter': 116}
{'total_loss': 503.12299, 'time_loss': 231.16943, 'mark_loss': 271.95355, 'iter': 117}
{'total_loss': 501.92041, 'time_loss': 231.03311, 'mark_loss': 270.8873, 'iter': 118}
{'total_loss': 500.21652, 'time_loss': 230.60895, 'mark_loss': 269.60757, 'iter': 119}
{'total_loss': 499.09406, 'time_loss': 230.36917, 'mark_loss': 268.72488, 'iter': 120}
{'total_loss': 498.02722, 'time_loss': 230.40924, 'mark_loss': 267.61798, 'iter': 121}
{'total_loss': 498.76639, 'time_loss': 230.96063, 'mark_loss': 267.80576, 'iter': 122}
{'total_loss': 495.86557, 'time_loss': 230.44388, 'mark_loss': 265.42169, 'iter': 123}
{'total_loss': 494.39612, 'time_loss': 230.09561, 'mark_loss': 264.30051, 'iter': 124}
{'total_loss': 492.90039, 'time_loss': 229.67053, 'mark_loss': 263.22986, 'iter': 125}
{'total_loss': 492.00006, 'time_loss': 229.8573, 'mark_loss': 262.14276, 'iter': 126}
{'total_loss': 492.44553, 'time_loss': 230.46667, 'mark_loss': 261.97885, 'iter': 127}
{'total_loss': 489.41089, 'time_loss': 229.43753, 'mark_loss': 259.97336, 'iter': 128}
{'total_loss': 489.7569, 'time_loss': 229.97626, 'mark_loss': 259.78064, 'iter': 129}
{'total_loss': 487.21613, 'time_loss': 229.64737, 'mark_loss': 257.56876, 'iter': 130}
{'total_loss': 488.1412, 'time_loss': 230.53494, 'mark_loss': 257.60626, 'iter': 131}
{'total_loss': 484.06738, 'time_loss': 228.51016, 'mark_loss': 255.55722, 'iter': 132}
{'total_loss': 483.01538, 'time_loss': 228.52359, 'mark_loss': 254.49179, 'iter': 133}
{'total_loss': 481.7088, 'time_loss': 228.28894, 'mark_loss': 253.41986, 'iter': 134}
{'total_loss': 480.25623, 'time_loss': 227.96376, 'mark_loss': 252.29247, 'iter': 135}
{'total_loss': 480.28348, 'time_loss': 228.49916, 'mark_loss': 251.78432, 'iter': 136}
{'total_loss': 478.03809, 'time_loss': 227.86365, 'mark_loss': 250.17444, 'iter': 137}
{'total_loss': 477.16501, 'time_loss': 227.57468, 'mark_loss': 249.59033, 'iter': 138}
{'total_loss': 475.56796, 'time_loss': 227.56155, 'mark_loss': 248.00641, 'iter': 139}
{'total_loss': 474.13882, 'time_loss': 227.23402, 'mark_loss': 246.9048, 'iter': 140}
{'total_loss': 472.71384, 'time_loss': 226.91324, 'mark_loss': 245.8006, 'iter': 141}
{'total_loss': 471.16455, 'time_loss': 226.69165, 'mark_loss': 244.4729, 'iter': 142}
{'total_loss': 470.56506, 'time_loss': 226.92911, 'mark_loss': 243.63596, 'iter': 143}
{'total_loss': 470.81293, 'time_loss': 227.38177, 'mark_loss': 243.43115, 'iter': 144}
{'total_loss': 467.66479, 'time_loss': 226.42722, 'mark_loss': 241.23758, 'iter': 145}
{'total_loss': 468.29602, 'time_loss': 227.05042, 'mark_loss': 241.24561, 'iter': 146}
{'total_loss': 465.35553, 'time_loss': 226.08981, 'mark_loss': 239.26572, 'iter': 147}
{'total_loss': 464.26163, 'time_loss': 226.04955, 'mark_loss': 238.21208, 'iter': 148}
{'total_loss': 465.36566, 'time_loss': 227.36639, 'mark_loss': 237.99927, 'iter': 149}
{'total_loss': 462.11761, 'time_loss': 226.02531, 'mark_loss': 236.0923, 'iter': 150}
{'total_loss': 461.84192, 'time_loss': 226.00133, 'mark_loss': 235.84059, 'iter': 151}
{'total_loss': 460.92389, 'time_loss': 226.20399, 'mark_loss': 234.71989, 'iter': 152}
