{'total_loss': 400.64273, 'time_loss': 12.365326, 'mark_loss': 388.2774, 'iter': 0}
{'total_loss': 394.40271, 'time_loss': 12.33551, 'mark_loss': 382.0672, 'iter': 1}
{'total_loss': 389.4982, 'time_loss': 12.289886, 'mark_loss': 377.20831, 'iter': 2}
{'total_loss': 385.6088, 'time_loss': 12.265045, 'mark_loss': 373.34375, 'iter': 3}
{'total_loss': 382.05276, 'time_loss': 12.246399, 'mark_loss': 369.80637, 'iter': 4}
{'total_loss': 379.69705, 'time_loss': 12.220215, 'mark_loss': 367.47684, 'iter': 5}
{'total_loss': 375.77838, 'time_loss': 12.20166, 'mark_loss': 363.57672, 'iter': 6}
{'total_loss': 372.84937, 'time_loss': 12.164978, 'mark_loss': 360.68439, 'iter': 7}
{'total_loss': 369.95453, 'time_loss': 12.130646, 'mark_loss': 357.82388, 'iter': 8}
{'total_loss': 367.38867, 'time_loss': 12.127808, 'mark_loss': 355.26086, 'iter': 9}
{'total_loss': 366.04102, 'time_loss': 12.137787, 'mark_loss': 353.90323, 'iter': 10}
{'total_loss': 362.43768, 'time_loss': 12.09668, 'mark_loss': 350.341, 'iter': 11}
{'total_loss': 359.67603, 'time_loss': 12.026825, 'mark_loss': 347.6492, 'iter': 12}
{'total_loss': 357.2522, 'time_loss': 12.013153, 'mark_loss': 345.23904, 'iter': 13}
{'total_loss': 355.97925, 'time_loss': 12.040527, 'mark_loss': 343.93872, 'iter': 14}
{'total_loss': 352.69641, 'time_loss': 11.996582, 'mark_loss': 340.69983, 'iter': 15}
{'total_loss': 350.43671, 'time_loss': 11.967926, 'mark_loss': 338.46878, 'iter': 16}
{'total_loss': 348.22253, 'time_loss': 11.94751, 'mark_loss': 336.27502, 'iter': 17}
{'total_loss': 346.01431, 'time_loss': 11.926605, 'mark_loss': 334.08771, 'iter': 18}
{'total_loss': 344.70648, 'time_loss': 11.917694, 'mark_loss': 332.78879, 'iter': 19}
{'total_loss': 342.52161, 'time_loss': 11.886505, 'mark_loss': 330.6351, 'iter': 20}
{'total_loss': 339.62222, 'time_loss': 11.86026, 'mark_loss': 327.76196, 'iter': 21}
{'total_loss': 337.51959, 'time_loss': 11.832458, 'mark_loss': 325.68713, 'iter': 22}
{'total_loss': 336.75412, 'time_loss': 11.876251, 'mark_loss': 324.87787, 'iter': 23}
{'total_loss': 333.55542, 'time_loss': 11.809204, 'mark_loss': 321.74622, 'iter': 24}
{'total_loss': 331.6282, 'time_loss': 11.801819, 'mark_loss': 319.82639, 'iter': 25}
{'total_loss': 329.66037, 'time_loss': 11.778351, 'mark_loss': 317.88202, 'iter': 26}
{'total_loss': 327.57407, 'time_loss': 11.733429, 'mark_loss': 315.84064, 'iter': 27}
{'total_loss': 325.66159, 'time_loss': 11.715973, 'mark_loss': 313.94562, 'iter': 28}
{'total_loss': 323.8092, 'time_loss': 11.702332, 'mark_loss': 312.10687, 'iter': 29}
{'total_loss': 322.0517, 'time_loss': 11.719788, 'mark_loss': 310.33191, 'iter': 30}
{'total_loss': 320.10962, 'time_loss': 11.671021, 'mark_loss': 308.4386, 'iter': 31}
{'total_loss': 318.23157, 'time_loss': 11.653931, 'mark_loss': 306.57764, 'iter': 32}
{'total_loss': 316.4205, 'time_loss': 11.634247, 'mark_loss': 304.78625, 'iter': 33}
{'total_loss': 315.36349, 'time_loss': 11.636353, 'mark_loss': 303.72714, 'iter': 34}
{'total_loss': 313.49139, 'time_loss': 11.602478, 'mark_loss': 301.88892, 'iter': 35}
{'total_loss': 310.98029, 'time_loss': 11.575806, 'mark_loss': 299.40448, 'iter': 36}
{'total_loss': 309.27679, 'time_loss': 11.577515, 'mark_loss': 297.69928, 'iter': 37}
{'total_loss': 307.4632, 'time_loss': 11.546021, 'mark_loss': 295.91718, 'iter': 38}
{'total_loss': 305.7695, 'time_loss': 11.523041, 'mark_loss': 294.24646, 'iter': 39}
{'total_loss': 304.67035, 'time_loss': 11.51886, 'mark_loss': 293.15149, 'iter': 40}
{'total_loss': 302.26471, 'time_loss': 11.481628, 'mark_loss': 290.78308, 'iter': 41}
{'total_loss': 301.7095, 'time_loss': 11.52594, 'mark_loss': 290.18356, 'iter': 42}
{'total_loss': 298.91995, 'time_loss': 11.47757, 'mark_loss': 287.44238, 'iter': 43}
{'total_loss': 297.18661, 'time_loss': 11.435852, 'mark_loss': 285.75076, 'iter': 44}
{'total_loss': 295.53952, 'time_loss': 11.418304, 'mark_loss': 284.12122, 'iter': 45}
{'total_loss': 294.6795, 'time_loss': 11.424622, 'mark_loss': 283.25488, 'iter': 46}
{'total_loss': 292.01334, 'time_loss': 11.374481, 'mark_loss': 280.63885, 'iter': 47}
{'total_loss': 290.60254, 'time_loss': 11.37793, 'mark_loss': 279.22461, 'iter': 48}
{'total_loss': 288.93909, 'time_loss': 11.36145, 'mark_loss': 277.57764, 'iter': 49}
{'total_loss': 287.8042, 'time_loss': 11.347168, 'mark_loss': 276.45703, 'iter': 50}
{'total_loss': 285.62656, 'time_loss': 11.320923, 'mark_loss': 274.30563, 'iter': 51}
{'total_loss': 284.11975, 'time_loss': 11.31073, 'mark_loss': 272.80902, 'iter': 52}
{'total_loss': 282.47791, 'time_loss': 11.292694, 'mark_loss': 271.18521, 'iter': 53}
{'total_loss': 280.84183, 'time_loss': 11.272034, 'mark_loss': 269.56979, 'iter': 54}
{'total_loss': 279.31448, 'time_loss': 11.284729, 'mark_loss': 268.02975, 'iter': 55}
{'total_loss': 277.69318, 'time_loss': 11.265167, 'mark_loss': 266.42801, 'iter': 56}
{'total_loss': 276.07175, 'time_loss': 11.246979, 'mark_loss': 264.82477, 'iter': 57}
{'total_loss': 275.56946, 'time_loss': 11.269226, 'mark_loss': 264.30023, 'iter': 58}
{'total_loss': 272.86307, 'time_loss': 11.195892, 'mark_loss': 261.66718, 'iter': 59}
{'total_loss': 271.47809, 'time_loss': 11.196045, 'mark_loss': 260.28204, 'iter': 60}
{'total_loss': 270.50177, 'time_loss': 11.163879, 'mark_loss': 259.33789, 'iter': 61}
{'total_loss': 268.50525, 'time_loss': 11.168762, 'mark_loss': 257.33649, 'iter': 62}
{'total_loss': 267.23175, 'time_loss': 11.119781, 'mark_loss': 256.11197, 'iter': 63}
{'total_loss': 265.26016, 'time_loss': 11.12088, 'mark_loss': 254.13928, 'iter': 64}
{'total_loss': 263.92554, 'time_loss': 11.109528, 'mark_loss': 252.81601, 'iter': 65}
{'total_loss': 262.71762, 'time_loss': 11.11145, 'mark_loss': 251.60617, 'iter': 66}
{'total_loss': 260.8949, 'time_loss': 11.084564, 'mark_loss': 249.81033, 'iter': 67}
{'total_loss': 259.14813, 'time_loss': 11.062164, 'mark_loss': 248.08597, 'iter': 68}
{'total_loss': 257.96689, 'time_loss': 11.075928, 'mark_loss': 246.89096, 'iter': 69}
{'total_loss': 256.43622, 'time_loss': 11.046967, 'mark_loss': 245.38925, 'iter': 70}
{'total_loss': 255.77626, 'time_loss': 11.063873, 'mark_loss': 244.71239, 'iter': 71}
{'total_loss': 253.35587, 'time_loss': 11.013077, 'mark_loss': 242.34279, 'iter': 72}
{'total_loss': 251.91882, 'time_loss': 11.002197, 'mark_loss': 240.91663, 'iter': 73}
{'total_loss': 250.30696, 'time_loss': 11.015488, 'mark_loss': 239.29147, 'iter': 74}
{'total_loss': 249.54778, 'time_loss': 10.986862, 'mark_loss': 238.56091, 'iter': 75}
{'total_loss': 247.7034, 'time_loss': 10.97496, 'mark_loss': 236.72844, 'iter': 76}
{'total_loss': 246.14352, 'time_loss': 10.963135, 'mark_loss': 235.18039, 'iter': 77}
{'total_loss': 244.75827, 'time_loss': 10.950623, 'mark_loss': 233.80765, 'iter': 78}
{'total_loss': 243.34843, 'time_loss': 10.940491, 'mark_loss': 232.40794, 'iter': 79}
{'total_loss': 242.31247, 'time_loss': 10.93045, 'mark_loss': 231.38202, 'iter': 80}
{'total_loss': 240.23108, 'time_loss': 10.921753, 'mark_loss': 229.30933, 'iter': 81}
{'total_loss': 239.02011, 'time_loss': 10.897812, 'mark_loss': 228.1223, 'iter': 82}
{'total_loss': 238.16803, 'time_loss': 10.90332, 'mark_loss': 227.26471, 'iter': 83}
{'total_loss': 236.21677, 'time_loss': 10.852356, 'mark_loss': 225.36441, 'iter': 84}
{'total_loss': 234.86215, 'time_loss': 10.856354, 'mark_loss': 224.0058, 'iter': 85}
{'total_loss': 233.49852, 'time_loss': 10.85495, 'mark_loss': 222.64357, 'iter': 86}
{'total_loss': 233.09412, 'time_loss': 10.907364, 'mark_loss': 222.18675, 'iter': 87}
{'total_loss': 230.74307, 'time_loss': 10.827942, 'mark_loss': 219.91513, 'iter': 88}
{'total_loss': 229.50766, 'time_loss': 10.818741, 'mark_loss': 218.68892, 'iter': 89}
{'total_loss': 228.07254, 'time_loss': 10.814865, 'mark_loss': 217.25768, 'iter': 90}
{'total_loss': 226.79997, 'time_loss': 10.816757, 'mark_loss': 215.98322, 'iter': 91}
{'total_loss': 225.28528, 'time_loss': 10.804367, 'mark_loss': 214.48091, 'iter': 92}
{'total_loss': 224.10228, 'time_loss': 10.79451, 'mark_loss': 213.30777, 'iter': 93}
{'total_loss': 223.36484, 'time_loss': 10.812775, 'mark_loss': 212.55206, 'iter': 94}
{'total_loss': 221.17065, 'time_loss': 10.748566, 'mark_loss': 210.42209, 'iter': 95}
{'total_loss': 219.9071, 'time_loss': 10.755554, 'mark_loss': 209.15155, 'iter': 96}
{'total_loss': 218.74361, 'time_loss': 10.764877, 'mark_loss': 207.97873, 'iter': 97}
{'total_loss': 217.33841, 'time_loss': 10.735229, 'mark_loss': 206.60318, 'iter': 98}
{'total_loss': 216.98972, 'time_loss': 10.782684, 'mark_loss': 206.20703, 'iter': 99}
{'total_loss': 214.19756, 'time_loss': 10.727386, 'mark_loss': 203.47017, 'iter': 100}
{'total_loss': 213.41824, 'time_loss': 10.722565, 'mark_loss': 202.69568, 'iter': 101}
{'total_loss': 211.99965, 'time_loss': 10.681625, 'mark_loss': 201.31802, 'iter': 102}
{'total_loss': 210.77632, 'time_loss': 10.702744, 'mark_loss': 200.07358, 'iter': 103}
{'total_loss': 209.35289, 'time_loss': 10.684204, 'mark_loss': 198.66869, 'iter': 104}
{'total_loss': 208.19855, 'time_loss': 10.687836, 'mark_loss': 197.51071, 'iter': 105}
{'total_loss': 206.85199, 'time_loss': 10.667389, 'mark_loss': 196.1846, 'iter': 106}
{'total_loss': 205.63705, 'time_loss': 10.647675, 'mark_loss': 194.98938, 'iter': 107}
{'total_loss': 204.31998, 'time_loss': 10.660889, 'mark_loss': 193.65909, 'iter': 108}
{'total_loss': 203.09964, 'time_loss': 10.643753, 'mark_loss': 192.45589, 'iter': 109}
{'total_loss': 201.73294, 'time_loss': 10.637177, 'mark_loss': 191.09576, 'iter': 110}
{'total_loss': 200.46503, 'time_loss': 10.628662, 'mark_loss': 189.83636, 'iter': 111}
{'total_loss': 199.4841, 'time_loss': 10.622864, 'mark_loss': 188.86124, 'iter': 112}
{'total_loss': 198.04315, 'time_loss': 10.621445, 'mark_loss': 187.42171, 'iter': 113}
{'total_loss': 196.7328, 'time_loss': 10.587265, 'mark_loss': 186.14554, 'iter': 114}
{'total_loss': 195.50034, 'time_loss': 10.602127, 'mark_loss': 184.89821, 'iter': 115}
{'total_loss': 194.33867, 'time_loss': 10.566345, 'mark_loss': 183.77232, 'iter': 116}
{'total_loss': 193.84039, 'time_loss': 10.611603, 'mark_loss': 183.22879, 'iter': 117}
{'total_loss': 191.94104, 'time_loss': 10.577118, 'mark_loss': 181.36392, 'iter': 118}
{'total_loss': 190.7899, 'time_loss': 10.55278, 'mark_loss': 180.23712, 'iter': 119}
{'total_loss': 189.59166, 'time_loss': 10.561249, 'mark_loss': 179.03041, 'iter': 120}
{'total_loss': 188.33624, 'time_loss': 10.562363, 'mark_loss': 177.77388, 'iter': 121}
{'total_loss': 186.84131, 'time_loss': 10.515366, 'mark_loss': 176.32594, 'iter': 122}
{'total_loss': 186.00996, 'time_loss': 10.538223, 'mark_loss': 175.47174, 'iter': 123}
{'total_loss': 184.72221, 'time_loss': 10.523193, 'mark_loss': 174.19902, 'iter': 124}
{'total_loss': 183.4312, 'time_loss': 10.491714, 'mark_loss': 172.93948, 'iter': 125}
{'total_loss': 182.41653, 'time_loss': 10.515045, 'mark_loss': 171.90149, 'iter': 126}
{'total_loss': 181.23184, 'time_loss': 10.488922, 'mark_loss': 170.74292, 'iter': 127}
{'total_loss': 179.46143, 'time_loss': 10.479462, 'mark_loss': 168.98196, 'iter': 128}
{'total_loss': 178.93121, 'time_loss': 10.467453, 'mark_loss': 168.46376, 'iter': 129}
{'total_loss': 177.67966, 'time_loss': 10.490784, 'mark_loss': 167.18887, 'iter': 130}
{'total_loss': 176.47925, 'time_loss': 10.457306, 'mark_loss': 166.02194, 'iter': 131}
{'total_loss': 176.15317, 'time_loss': 10.513168, 'mark_loss': 165.64, 'iter': 132}
{'total_loss': 174.44855, 'time_loss': 10.466934, 'mark_loss': 163.98161, 'iter': 133}
{'total_loss': 172.78409, 'time_loss': 10.449631, 'mark_loss': 162.33446, 'iter': 134}
{'total_loss': 171.41745, 'time_loss': 10.437256, 'mark_loss': 160.98019, 'iter': 135}
{'total_loss': 170.86369, 'time_loss': 10.434006, 'mark_loss': 160.42969, 'iter': 136}
{'total_loss': 169.84013, 'time_loss': 10.421799, 'mark_loss': 159.41833, 'iter': 137}
{'total_loss': 168.87341, 'time_loss': 10.431122, 'mark_loss': 158.44229, 'iter': 138}
{'total_loss': 167.83572, 'time_loss': 10.409012, 'mark_loss': 157.42671, 'iter': 139}
{'total_loss': 166.36359, 'time_loss': 10.409973, 'mark_loss': 155.95361, 'iter': 140}
{'total_loss': 165.96176, 'time_loss': 10.426636, 'mark_loss': 155.53513, 'iter': 141}
{'total_loss': 164.55046, 'time_loss': 10.404449, 'mark_loss': 154.14601, 'iter': 142}
{'total_loss': 163.1839, 'time_loss': 10.397079, 'mark_loss': 152.78682, 'iter': 143}
{'total_loss': 162.91635, 'time_loss': 10.404968, 'mark_loss': 152.51138, 'iter': 144}
{'total_loss': 160.50586, 'time_loss': 10.35527, 'mark_loss': 150.15059, 'iter': 145}
{'total_loss': 160.31831, 'time_loss': 10.376038, 'mark_loss': 149.94228, 'iter': 146}
{'total_loss': 159.74451, 'time_loss': 10.403, 'mark_loss': 149.34151, 'iter': 147}
{'total_loss': 158.01239, 'time_loss': 10.35704, 'mark_loss': 147.65535, 'iter': 148}
{'total_loss': 156.98149, 'time_loss': 10.361389, 'mark_loss': 146.6201, 'iter': 149}
{'total_loss': 156.13422, 'time_loss': 10.338715, 'mark_loss': 145.7955, 'iter': 150}
{'total_loss': 155.20746, 'time_loss': 10.344849, 'mark_loss': 144.86261, 'iter': 151}
{'total_loss': 154.04974, 'time_loss': 10.334549, 'mark_loss': 143.71519, 'iter': 152}
{'total_loss': 152.33704, 'time_loss': 10.331223, 'mark_loss': 142.00581, 'iter': 153}
{'total_loss': 152.66647, 'time_loss': 10.355408, 'mark_loss': 142.31107, 'iter': 154}
{'total_loss': 151.0571, 'time_loss': 10.32196, 'mark_loss': 140.73514, 'iter': 155}
{'total_loss': 149.45358, 'time_loss': 10.298462, 'mark_loss': 139.15512, 'iter': 156}
{'total_loss': 149.24477, 'time_loss': 10.279221, 'mark_loss': 138.96555, 'iter': 157}
{'total_loss': 148.48012, 'time_loss': 10.323929, 'mark_loss': 138.15619, 'iter': 158}
{'total_loss': 147.20163, 'time_loss': 10.290512, 'mark_loss': 136.91112, 'iter': 159}
{'total_loss': 145.89673, 'time_loss': 10.276306, 'mark_loss': 135.62042, 'iter': 160}
{'total_loss': 145.19437, 'time_loss': 10.278473, 'mark_loss': 134.91589, 'iter': 161}
{'total_loss': 144.78201, 'time_loss': 10.305634, 'mark_loss': 134.47638, 'iter': 162}
{'total_loss': 143.94046, 'time_loss': 10.321671, 'mark_loss': 133.61879, 'iter': 163}
{'total_loss': 142.54489, 'time_loss': 10.260513, 'mark_loss': 132.28438, 'iter': 164}
{'total_loss': 141.7164, 'time_loss': 10.252579, 'mark_loss': 131.46382, 'iter': 165}
{'total_loss': 140.44012, 'time_loss': 10.260147, 'mark_loss': 130.17998, 'iter': 166}
{'total_loss': 139.55707, 'time_loss': 10.263138, 'mark_loss': 129.29393, 'iter': 167}
{'total_loss': 137.92772, 'time_loss': 10.226303, 'mark_loss': 127.70142, 'iter': 168}
{'total_loss': 137.42209, 'time_loss': 10.213753, 'mark_loss': 127.20834, 'iter': 169}
{'total_loss': 136.90181, 'time_loss': 10.230789, 'mark_loss': 126.67102, 'iter': 170}
{'total_loss': 135.7457, 'time_loss': 10.188583, 'mark_loss': 125.55711, 'iter': 171}
{'total_loss': 134.92371, 'time_loss': 10.233139, 'mark_loss': 124.69057, 'iter': 172}
{'total_loss': 134.21216, 'time_loss': 10.215569, 'mark_loss': 123.99659, 'iter': 173}
{'total_loss': 133.3989, 'time_loss': 10.220222, 'mark_loss': 123.17867, 'iter': 174}
{'total_loss': 132.54886, 'time_loss': 10.214615, 'mark_loss': 122.33424, 'iter': 175}
{'total_loss': 131.5997, 'time_loss': 10.189919, 'mark_loss': 121.40978, 'iter': 176}
{'total_loss': 130.98094, 'time_loss': 10.193222, 'mark_loss': 120.78772, 'iter': 177}
{'total_loss': 129.93874, 'time_loss': 10.204346, 'mark_loss': 119.73439, 'iter': 178}
{'total_loss': 129.04114, 'time_loss': 10.189102, 'mark_loss': 118.85204, 'iter': 179}
{'total_loss': 128.18404, 'time_loss': 10.163338, 'mark_loss': 118.0207, 'iter': 180}
{'total_loss': 126.88403, 'time_loss': 10.182007, 'mark_loss': 116.70203, 'iter': 181}
{'total_loss': 126.65491, 'time_loss': 10.178085, 'mark_loss': 116.47682, 'iter': 182}
{'total_loss': 125.71207, 'time_loss': 10.157074, 'mark_loss': 115.55499, 'iter': 183}
{'total_loss': 125.13905, 'time_loss': 10.183929, 'mark_loss': 114.95512, 'iter': 184}
{'total_loss': 123.88431, 'time_loss': 10.154976, 'mark_loss': 113.72933, 'iter': 185}
{'total_loss': 123.47316, 'time_loss': 10.160873, 'mark_loss': 113.31229, 'iter': 186}
{'total_loss': 122.75148, 'time_loss': 10.200554, 'mark_loss': 112.55093, 'iter': 187}
{'total_loss': 121.65387, 'time_loss': 10.128685, 'mark_loss': 111.52518, 'iter': 188}
{'total_loss': 120.98747, 'time_loss': 10.126846, 'mark_loss': 110.86063, 'iter': 189}
{'total_loss': 119.95878, 'time_loss': 10.137009, 'mark_loss': 109.82177, 'iter': 190}
{'total_loss': 119.5186, 'time_loss': 10.146301, 'mark_loss': 109.3723, 'iter': 191}
{'total_loss': 118.6843, 'time_loss': 10.128288, 'mark_loss': 108.55601, 'iter': 192}
{'total_loss': 117.91636, 'time_loss': 10.129715, 'mark_loss': 107.78664, 'iter': 193}
{'total_loss': 116.83992, 'time_loss': 10.101326, 'mark_loss': 106.73859, 'iter': 194}
{'total_loss': 116.33775, 'time_loss': 10.109764, 'mark_loss': 106.22799, 'iter': 195}
{'total_loss': 115.51028, 'time_loss': 10.084793, 'mark_loss': 105.42549, 'iter': 196}
{'total_loss': 114.77901, 'time_loss': 10.067711, 'mark_loss': 104.7113, 'iter': 197}
{'total_loss': 113.89317, 'time_loss': 10.078461, 'mark_loss': 103.81471, 'iter': 198}
{'total_loss': 113.16402, 'time_loss': 10.068069, 'mark_loss': 103.09595, 'iter': 199}
{'total_loss': 112.51568, 'time_loss': 10.080841, 'mark_loss': 102.43484, 'iter': 200}
{'total_loss': 111.83623, 'time_loss': 10.062149, 'mark_loss': 101.77408, 'iter': 201}
{'total_loss': 111.00777, 'time_loss': 10.0961, 'mark_loss': 100.91167, 'iter': 202}
{'total_loss': 110.43311, 'time_loss': 10.060905, 'mark_loss': 100.3722, 'iter': 203}
{'total_loss': 109.62683, 'time_loss': 10.062065, 'mark_loss': 99.564766, 'iter': 204}
{'total_loss': 108.86497, 'time_loss': 10.06443, 'mark_loss': 98.800545, 'iter': 205}
{'total_loss': 108.28343, 'time_loss': 10.066795, 'mark_loss': 98.216637, 'iter': 206}
{'total_loss': 107.5173, 'time_loss': 10.052559, 'mark_loss': 97.464737, 'iter': 207}
{'total_loss': 106.11366, 'time_loss': 10.046074, 'mark_loss': 96.067581, 'iter': 208}
{'total_loss': 106.31767, 'time_loss': 10.051773, 'mark_loss': 96.2659, 'iter': 209}
{'total_loss': 105.51596, 'time_loss': 10.036003, 'mark_loss': 95.479958, 'iter': 210}
{'total_loss': 103.54761, 'time_loss': 10.025711, 'mark_loss': 93.521896, 'iter': 211}
{'total_loss': 104.48898, 'time_loss': 10.057709, 'mark_loss': 94.431274, 'iter': 212}
