{'total_loss': 426.79303, 'time_loss': 12.279968, 'mark_loss': 414.51306, 'iter': 0}
{'total_loss': 424.07806, 'time_loss': 12.295685, 'mark_loss': 411.78238, 'iter': 1}
{'total_loss': 420.17639, 'time_loss': 12.31488, 'mark_loss': 407.86151, 'iter': 2}
{'total_loss': 417.75439, 'time_loss': 12.2724, 'mark_loss': 405.48199, 'iter': 3}
{'total_loss': 415.40588, 'time_loss': 12.305054, 'mark_loss': 403.10083, 'iter': 4}
{'total_loss': 413.40677, 'time_loss': 12.284332, 'mark_loss': 401.12244, 'iter': 5}
{'total_loss': 411.54144, 'time_loss': 12.30542, 'mark_loss': 399.23602, 'iter': 6}
{'total_loss': 409.55829, 'time_loss': 12.286133, 'mark_loss': 397.27216, 'iter': 7}
{'total_loss': 407.72943, 'time_loss': 12.300659, 'mark_loss': 395.42877, 'iter': 8}
{'total_loss': 405.94598, 'time_loss': 12.293213, 'mark_loss': 393.65277, 'iter': 9}
{'total_loss': 405.73639, 'time_loss': 12.3573, 'mark_loss': 393.37909, 'iter': 10}
{'total_loss': 402.68823, 'time_loss': 12.331116, 'mark_loss': 390.35712, 'iter': 11}
{'total_loss': 401.01169, 'time_loss': 12.301849, 'mark_loss': 388.70984, 'iter': 12}
{'total_loss': 399.37793, 'time_loss': 12.301636, 'mark_loss': 387.07629, 'iter': 13}
{'total_loss': 397.94885, 'time_loss': 12.315002, 'mark_loss': 385.63385, 'iter': 14}
{'total_loss': 396.27435, 'time_loss': 12.282104, 'mark_loss': 383.99225, 'iter': 15}
{'total_loss': 394.63492, 'time_loss': 12.275848, 'mark_loss': 382.35907, 'iter': 16}
{'total_loss': 393.2298, 'time_loss': 12.28717, 'mark_loss': 380.94263, 'iter': 17}
{'total_loss': 391.65439, 'time_loss': 12.291779, 'mark_loss': 379.36261, 'iter': 18}
{'total_loss': 390.24478, 'time_loss': 12.31073, 'mark_loss': 377.93405, 'iter': 19}
{'total_loss': 388.70303, 'time_loss': 12.294067, 'mark_loss': 376.40897, 'iter': 20}
{'total_loss': 387.14981, 'time_loss': 12.268829, 'mark_loss': 374.88098, 'iter': 21}
{'total_loss': 386.76221, 'time_loss': 12.304688, 'mark_loss': 374.45752, 'iter': 22}
{'total_loss': 384.34363, 'time_loss': 12.293427, 'mark_loss': 372.0502, 'iter': 23}
{'total_loss': 384.1564, 'time_loss': 12.321075, 'mark_loss': 371.83533, 'iter': 24}
{'total_loss': 381.44553, 'time_loss': 12.298187, 'mark_loss': 369.14734, 'iter': 25}
{'total_loss': 379.95755, 'time_loss': 12.28299, 'mark_loss': 367.67456, 'iter': 26}
{'total_loss': 378.55194, 'time_loss': 12.292053, 'mark_loss': 366.25989, 'iter': 27}
{'total_loss': 377.07016, 'time_loss': 12.270813, 'mark_loss': 364.79935, 'iter': 28}
{'total_loss': 375.69205, 'time_loss': 12.268982, 'mark_loss': 363.42307, 'iter': 29}
{'total_loss': 374.3075, 'time_loss': 12.281372, 'mark_loss': 362.02612, 'iter': 30}
{'total_loss': 372.86902, 'time_loss': 12.272888, 'mark_loss': 360.59613, 'iter': 31}
{'total_loss': 372.38287, 'time_loss': 12.283539, 'mark_loss': 360.09933, 'iter': 32}
{'total_loss': 370.05762, 'time_loss': 12.273102, 'mark_loss': 357.78452, 'iter': 33}
{'total_loss': 368.65405, 'time_loss': 12.274689, 'mark_loss': 356.37936, 'iter': 34}
{'total_loss': 367.33759, 'time_loss': 12.283997, 'mark_loss': 355.05359, 'iter': 35}
{'total_loss': 367.14209, 'time_loss': 12.303345, 'mark_loss': 354.83875, 'iter': 36}
{'total_loss': 364.58228, 'time_loss': 12.305481, 'mark_loss': 352.27679, 'iter': 37}
{'total_loss': 363.10083, 'time_loss': 12.261841, 'mark_loss': 350.83899, 'iter': 38}
{'total_loss': 361.67508, 'time_loss': 12.249451, 'mark_loss': 349.42563, 'iter': 39}
{'total_loss': 361.51941, 'time_loss': 12.277161, 'mark_loss': 349.24225, 'iter': 40}
{'total_loss': 358.94269, 'time_loss': 12.260315, 'mark_loss': 346.68237, 'iter': 41}
{'total_loss': 357.59454, 'time_loss': 12.25882, 'mark_loss': 345.33572, 'iter': 42}
{'total_loss': 356.26483, 'time_loss': 12.271088, 'mark_loss': 343.99374, 'iter': 43}
{'total_loss': 354.88434, 'time_loss': 12.270569, 'mark_loss': 342.61377, 'iter': 44}
{'total_loss': 353.48859, 'time_loss': 12.258362, 'mark_loss': 341.23022, 'iter': 45}
{'total_loss': 352.15894, 'time_loss': 12.258423, 'mark_loss': 339.90051, 'iter': 46}
{'total_loss': 350.78961, 'time_loss': 12.246033, 'mark_loss': 338.54358, 'iter': 47}
{'total_loss': 349.40924, 'time_loss': 12.255646, 'mark_loss': 337.15359, 'iter': 48}
{'total_loss': 348.0191, 'time_loss': 12.259796, 'mark_loss': 335.75931, 'iter': 49}
{'total_loss': 347.49799, 'time_loss': 12.253113, 'mark_loss': 335.24487, 'iter': 50}
{'total_loss': 345.2847, 'time_loss': 12.226715, 'mark_loss': 333.05798, 'iter': 51}
{'total_loss': 345.18518, 'time_loss': 12.282745, 'mark_loss': 332.90244, 'iter': 52}
{'total_loss': 342.58487, 'time_loss': 12.250824, 'mark_loss': 330.33405, 'iter': 53}
{'total_loss': 341.28864, 'time_loss': 12.239868, 'mark_loss': 329.04877, 'iter': 54}
{'total_loss': 339.91251, 'time_loss': 12.227844, 'mark_loss': 327.68466, 'iter': 55}
{'total_loss': 338.58914, 'time_loss': 12.233459, 'mark_loss': 326.35568, 'iter': 56}
{'total_loss': 337.23215, 'time_loss': 12.22757, 'mark_loss': 325.00458, 'iter': 57}
{'total_loss': 335.92328, 'time_loss': 12.249695, 'mark_loss': 323.67358, 'iter': 58}
{'total_loss': 334.52985, 'time_loss': 12.248535, 'mark_loss': 322.28131, 'iter': 59}
{'total_loss': 334.04877, 'time_loss': 12.232849, 'mark_loss': 321.81592, 'iter': 60}
{'total_loss': 331.9447, 'time_loss': 12.226929, 'mark_loss': 319.71777, 'iter': 61}
{'total_loss': 332.43982, 'time_loss': 12.25647, 'mark_loss': 320.18335, 'iter': 62}
{'total_loss': 329.83066, 'time_loss': 12.213959, 'mark_loss': 317.6167, 'iter': 63}
{'total_loss': 327.95984, 'time_loss': 12.215942, 'mark_loss': 315.7439, 'iter': 64}
{'total_loss': 327.66196, 'time_loss': 12.280182, 'mark_loss': 315.38177, 'iter': 65}
{'total_loss': 325.36462, 'time_loss': 12.225708, 'mark_loss': 313.13892, 'iter': 66}
{'total_loss': 325.16846, 'time_loss': 12.258698, 'mark_loss': 312.90976, 'iter': 67}
{'total_loss': 322.62521, 'time_loss': 12.19046, 'mark_loss': 310.43475, 'iter': 68}
{'total_loss': 321.96686, 'time_loss': 12.197693, 'mark_loss': 309.76917, 'iter': 69}
{'total_loss': 320.81097, 'time_loss': 12.198059, 'mark_loss': 308.61292, 'iter': 70}
