{'total_loss': 554.02002, 'time_loss': 125.54266, 'mark_loss': 428.47736, 'iter': 0}
{'total_loss': 551.17084, 'time_loss': 125.77472, 'mark_loss': 425.39612, 'iter': 1}
{'total_loss': 551.37708, 'time_loss': 126.24426, 'mark_loss': 425.13281, 'iter': 2}
{'total_loss': 546.0401, 'time_loss': 125.74219, 'mark_loss': 420.29791, 'iter': 3}
{'total_loss': 544.00146, 'time_loss': 125.70306, 'mark_loss': 418.2984, 'iter': 4}
{'total_loss': 542.11121, 'time_loss': 125.69101, 'mark_loss': 416.4202, 'iter': 5}
{'total_loss': 541.93427, 'time_loss': 125.79132, 'mark_loss': 416.14294, 'iter': 6}
{'total_loss': 539.48328, 'time_loss': 125.41724, 'mark_loss': 414.06604, 'iter': 7}
{'total_loss': 536.94391, 'time_loss': 125.31024, 'mark_loss': 411.63367, 'iter': 8}
{'total_loss': 535.18677, 'time_loss': 125.33548, 'mark_loss': 409.85129, 'iter': 9}
{'total_loss': 534.71252, 'time_loss': 125.2739, 'mark_loss': 409.43863, 'iter': 10}
{'total_loss': 532.01514, 'time_loss': 125.12183, 'mark_loss': 406.89331, 'iter': 11}
{'total_loss': 531.00494, 'time_loss': 125.52307, 'mark_loss': 405.48187, 'iter': 12}
{'total_loss': 529.34021, 'time_loss': 125.28418, 'mark_loss': 404.05603, 'iter': 13}
{'total_loss': 528.26862, 'time_loss': 125.45721, 'mark_loss': 402.8114, 'iter': 14}
{'total_loss': 526.81329, 'time_loss': 125.54321, 'mark_loss': 401.27008, 'iter': 15}
{'total_loss': 525.4386, 'time_loss': 125.49002, 'mark_loss': 399.94858, 'iter': 16}
{'total_loss': 524.01428, 'time_loss': 125.26468, 'mark_loss': 398.7496, 'iter': 17}
{'total_loss': 522.69739, 'time_loss': 125.43457, 'mark_loss': 397.26282, 'iter': 18}
{'total_loss': 521.1933, 'time_loss': 125.24152, 'mark_loss': 395.95178, 'iter': 19}
