{'total_loss': 1332.6642, 'time_loss': 985.5835, 'mark_loss': 347.08069, 'iter': 63}
{'total_loss': 1335.6599, 'time_loss': 988.23462, 'mark_loss': 347.42526, 'iter': 64}
{'total_loss': 1332.916, 'time_loss': 986.99731, 'mark_loss': 345.9187, 'iter': 65}
{'total_loss': 1330.1371, 'time_loss': 984.84857, 'mark_loss': 345.28851, 'iter': 66}
{'total_loss': 1329.5723, 'time_loss': 984.73267, 'mark_loss': 344.83963, 'iter': 67}
{'total_loss': 1330.626, 'time_loss': 984.49884, 'mark_loss': 346.12714, 'iter': 68}
{'total_loss': 1325.134, 'time_loss': 981.59674, 'mark_loss': 343.53729, 'iter': 69}
{'total_loss': 1325.7583, 'time_loss': 982.87427, 'mark_loss': 342.88403, 'iter': 70}
{'total_loss': 1320.1183, 'time_loss': 977.86462, 'mark_loss': 342.25366, 'iter': 71}
{'total_loss': 1319.6046, 'time_loss': 977.90338, 'mark_loss': 341.70123, 'iter': 72}
{'total_loss': 1318.7141, 'time_loss': 977.62024, 'mark_loss': 341.09387, 'iter': 73}
{'total_loss': 1318.323, 'time_loss': 977.74268, 'mark_loss': 340.58032, 'iter': 74}
{'total_loss': 1314.2919, 'time_loss': 974.43927, 'mark_loss': 339.8526, 'iter': 75}
{'total_loss': 1315.3956, 'time_loss': 975.2865, 'mark_loss': 340.10916, 'iter': 76}
{'total_loss': 1310.7384, 'time_loss': 971.22937, 'mark_loss': 339.50903, 'iter': 77}
{'total_loss': 1311.7773, 'time_loss': 973.67377, 'mark_loss': 338.10358, 'iter': 78}
{'total_loss': 1315.1671, 'time_loss': 976.51611, 'mark_loss': 338.651, 'iter': 79}
{'total_loss': 1307.8657, 'time_loss': 971.07947, 'mark_loss': 336.78622, 'iter': 80}
{'total_loss': 1308.4114, 'time_loss': 971.12061, 'mark_loss': 337.2908, 'iter': 81}
{'total_loss': 1304.0933, 'time_loss': 968.63513, 'mark_loss': 335.45813, 'iter': 82}
{'total_loss': 1302.6602, 'time_loss': 967.7868, 'mark_loss': 334.87335, 'iter': 83}
{'total_loss': 1300.4297, 'time_loss': 966.19238, 'mark_loss': 334.2373, 'iter': 84}
{'total_loss': 1302.8442, 'time_loss': 968.12939, 'mark_loss': 334.71487, 'iter': 85}
{'total_loss': 1297.0193, 'time_loss': 964.13226, 'mark_loss': 332.88702, 'iter': 86}
{'total_loss': 1294.3892, 'time_loss': 962.15015, 'mark_loss': 332.23898, 'iter': 87}
{'total_loss': 1293.1659, 'time_loss': 961.55554, 'mark_loss': 331.61038, 'iter': 88}
{'total_loss': 1291.6003, 'time_loss': 960.6178, 'mark_loss': 330.98254, 'iter': 89}
{'total_loss': 1290.6609, 'time_loss': 959.60645, 'mark_loss': 331.05444, 'iter': 90}
{'total_loss': 1288.667, 'time_loss': 958.23645, 'mark_loss': 330.43057, 'iter': 91}
{'total_loss': 1285.2855, 'time_loss': 956.26843, 'mark_loss': 329.01709, 'iter': 92}
{'total_loss': 1284.1355, 'time_loss': 955.82605, 'mark_loss': 328.30942, 'iter': 93}
{'total_loss': 1281.5031, 'time_loss': 953.84039, 'mark_loss': 327.66266, 'iter': 94}
{'total_loss': 1279.2104, 'time_loss': 952.25012, 'mark_loss': 326.96033, 'iter': 95}
{'total_loss': 1278.4934, 'time_loss': 952.14624, 'mark_loss': 326.34717, 'iter': 96}
{'total_loss': 1276.3751, 'time_loss': 950.67383, 'mark_loss': 325.70129, 'iter': 97}
{'total_loss': 1279.864, 'time_loss': 953.74658, 'mark_loss': 326.1174, 'iter': 98}
{'total_loss': 1273.0061, 'time_loss': 948.64777, 'mark_loss': 324.35834, 'iter': 99}
{'total_loss': 1272.1355, 'time_loss': 948.43066, 'mark_loss': 323.70483, 'iter': 100}
{'total_loss': 1268.8308, 'time_loss': 945.8418, 'mark_loss': 322.98901, 'iter': 101}
{'total_loss': 1269.5767, 'time_loss': 946.45319, 'mark_loss': 323.12347, 'iter': 102}
{'total_loss': 1266.6248, 'time_loss': 944.85211, 'mark_loss': 321.77264, 'iter': 103}
{'total_loss': 1265.0671, 'time_loss': 944.03632, 'mark_loss': 321.03082, 'iter': 104}
{'total_loss': 1261.4453, 'time_loss': 941.09619, 'mark_loss': 320.34912, 'iter': 105}
{'total_loss': 1267.8596, 'time_loss': 946.96826, 'mark_loss': 320.89139, 'iter': 106}
{'total_loss': 1259.9473, 'time_loss': 940.8363, 'mark_loss': 319.11093, 'iter': 107}
{'total_loss': 1256.9746, 'time_loss': 938.56409, 'mark_loss': 318.41052, 'iter': 108}
{'total_loss': 1256.7224, 'time_loss': 938.97266, 'mark_loss': 317.74979, 'iter': 109}
