{'total_loss': 1438.6305, 'time_loss': 1092.7384, 'mark_loss': 345.89206, 'iter': 0}
{'total_loss': 1428.7339, 'time_loss': 1087.561, 'mark_loss': 341.17285, 'iter': 1}
{'total_loss': 1431.1052, 'time_loss': 1090.8562, 'mark_loss': 340.24896, 'iter': 2}
{'total_loss': 1420.4766, 'time_loss': 1084.7494, 'mark_loss': 335.7272, 'iter': 3}
{'total_loss': 1415.8566, 'time_loss': 1082.3806, 'mark_loss': 333.47589, 'iter': 4}
{'total_loss': 1410.6377, 'time_loss': 1079.228, 'mark_loss': 331.40961, 'iter': 5}
{'total_loss': 1412.8582, 'time_loss': 1081.4805, 'mark_loss': 331.37762, 'iter': 6}
{'total_loss': 1410.1736, 'time_loss': 1081.6362, 'mark_loss': 328.53741, 'iter': 7}
{'total_loss': 1404.7865, 'time_loss': 1079.1185, 'mark_loss': 325.66794, 'iter': 8}
{'total_loss': 1403.5476, 'time_loss': 1078.5371, 'mark_loss': 325.01044, 'iter': 9}
{'total_loss': 1400.0344, 'time_loss': 1077.1044, 'mark_loss': 322.93008, 'iter': 10}
{'total_loss': 1393.5577, 'time_loss': 1073.0419, 'mark_loss': 320.51584, 'iter': 11}
{'total_loss': 1392.8851, 'time_loss': 1074.2306, 'mark_loss': 318.65457, 'iter': 12}
{'total_loss': 1389.0444, 'time_loss': 1071.8804, 'mark_loss': 317.16412, 'iter': 13}
{'total_loss': 1387.8124, 'time_loss': 1072.2273, 'mark_loss': 315.58502, 'iter': 14}
{'total_loss': 1383.308, 'time_loss': 1069.3665, 'mark_loss': 313.94147, 'iter': 15}
{'total_loss': 1380.5712, 'time_loss': 1068.2141, 'mark_loss': 312.35712, 'iter': 16}
{'total_loss': 1376.5474, 'time_loss': 1065.8066, 'mark_loss': 310.74072, 'iter': 17}
{'total_loss': 1376.1958, 'time_loss': 1066.9608, 'mark_loss': 309.23499, 'iter': 18}
{'total_loss': 1372.7661, 'time_loss': 1065.0988, 'mark_loss': 307.66736, 'iter': 19}
