{'mean_beta': 1.0, 'mean_alpha': 1.0, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 0, 'acc': [0.9995, 0.9183, 0.7878, 0.6963, 0.6219, 0.5645, 0.5165, 0.4815, 0.4548, 0.43], 'clock': 84.7, 'LL': -10.863468086135095, 'mape': [0.06517769831980008, 0.12516642048503812, 0.18653574702342668, 0.24626035548354375, 0.3018971280651958, 0.35423940214699895, 0.4034534585221526, 0.44765432352777207, 0.48819799904086897, 0.5256633561601576], 'source': 'initial', 'mape_val': [0.09690937017741073, 0.18103021828450713, 0.2647478186527573, 0.34550785384444305, 0.42209399882146353], 'time': 84.71547389030457, 'acc_val': [0.9816, 0.802, 0.6625, 0.5687, 0.5022]}
{'mean_beta': 0.5561848714713401, 'mean_alpha': 0.46306980109596396, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 0, 'acc': [0.9995, 0.9954, 0.9774, 0.925, 0.8644, 0.8093, 0.7572, 0.717, 0.6827, 0.6504], 'clock': 180.73999999999998, 'LL': -18.095807473404403, 'mape': [0.04573254447154753, 0.07506361162688113, 0.10433997296135505, 0.1312005615503299, 0.156141147646726, 0.17975326145813839, 0.20109465152222086, 0.2208046806867343, 0.23817829380602307, 0.25441475420347903], 'source': 'update Alpha beta', 'mape_val': [0.06478720718588382, 0.10367761479565073, 0.13755106673071543, 0.16911451012557707, 0.19831798143207524], 'time': 180.78850483894348, 'acc_val': [0.9977, 0.9822, 0.9114, 0.8348, 0.7695]}
{'mean_beta': 0.50698414131363845, 'mean_alpha': 0.43892323472106853, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 1, 'acc': [0.9994, 0.9956, 0.9807, 0.9372, 0.8825, 0.8291, 0.7788, 0.735, 0.7039, 0.6703], 'clock': 276.75, 'LL': -18.295609881417501, 'mape': [0.04455056759961362, 0.07242441675684341, 0.10020053152043609, 0.1258673559360321, 0.14955215666186947, 0.17212971185118306, 0.19244724217963766, 0.21129747715471095, 0.22792566655384058, 0.24359445893681522], 'source': 'update Alpha beta', 'mape_val': [0.06337310937046559, 0.09954637630276725, 0.13178988987991438, 0.1610863324791705, 0.18871073426238827], 'time': 276.81267499923706, 'acc_val': [0.9977, 0.9856, 0.9279, 0.8553, 0.7898]}
{'mean_beta': 0.47763660666086061, 'mean_alpha': 0.43204709361077803, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 2, 'acc': [0.9994, 0.9955, 0.9822, 0.9414, 0.89, 0.8365, 0.7857, 0.7431, 0.7095, 0.6762], 'clock': 372.5, 'LL': -18.343596190336104, 'mape': [0.04412997286782633, 0.07156188904615723, 0.09876729414844573, 0.12405554282675396, 0.14736001496450904, 0.1695392958608307, 0.1895645009180701, 0.20811778216385768, 0.22449893120844486, 0.2399889543012917], 'source': 'update Alpha beta', 'mape_val': [0.06288797289398645, 0.09810317474959608, 0.12983732805566758, 0.15838442745315892, 0.18545881068747974], 'time': 372.5800039768219, 'acc_val': [0.9976, 0.9859, 0.9331, 0.8617, 0.796]}
{'mean_beta': 0.45717987321627956, 'mean_alpha': 0.42862865376834652, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 3, 'acc': [0.9994, 0.9955, 0.9829, 0.9436, 0.8926, 0.8384, 0.7895, 0.7468, 0.7124, 0.6797], 'clock': 468.38, 'LL': -18.362867487885101, 'mape': [0.04395859794803746, 0.07122062592575701, 0.09817431890830912, 0.12331222174530529, 0.1464675977141516, 0.16846593536048665, 0.18838052155033824, 0.20681337687142895, 0.2230891665958543, 0.23849992265085634], 'source': 'update Alpha beta', 'mape_val': [0.06268336047408263, 0.09749904897897212, 0.1290097060496135, 0.15725600894073985, 0.1840844275660226], 'time': 468.46310591697693, 'acc_val': [0.9976, 0.9864, 0.9352, 0.8656, 0.7999]}
{'mean_beta': 0.44198202650140045, 'mean_alpha': 0.42616433238137541, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 4, 'acc': [0.9994, 0.9955, 0.983, 0.944, 0.8941, 0.8397, 0.7906, 0.7482, 0.7143, 0.6811], 'clock': 562.0300000000001, 'LL': -18.373426920253998, 'mape': [0.04388711207734512, 0.07107966165227492, 0.09791275123238947, 0.12298801832531003, 0.14607504036418822, 0.1679861832199626, 0.18785263556219337, 0.20623324016943342, 0.22246006204833538, 0.237832833236125], 'source': 'update Alpha beta', 'mape_val': [0.06258915317433472, 0.09722218943203825, 0.1286272477541964, 0.1567344371152171, 0.18343854791235797], 'time': 562.121661901474, 'acc_val': [0.9976, 0.9864, 0.9361, 0.8672, 0.8011]}
{'mean_beta': 0.44198202650140045, 'mean_alpha': 0.42616433238137541, 'w2': 1.004785306154778, 'w1': 0.051649142230358436, 'outer_iter': 0, 'inner_iter': 0, 'acc': [0.9994, 0.9957, 0.9856, 0.9575, 0.916, 0.8712, 0.8261, 0.785, 0.7515, 0.7198], 'clock': 665.1600000000001, 'LL': -18.537013690542306, 'mape': [0.04212297830353759, 0.06782358432282752, 0.09201021061511307, 0.11514133525414089, 0.1364434388254604, 0.15641470280620948, 0.17450384759019238, 0.19141623796487334, 0.20605727659850745, 0.21993907540693713], 'source': 'update w1 w2', 'mape_val': [0.06095679826738684, 0.0929738709614647, 0.12124878081007363, 0.14622718629197226, 0.16897471592408983], 'time': 665.2691979408264, 'acc_val': [0.9976, 0.9883, 0.9507, 0.8913, 0.8329]}
{'mean_beta': 0.43696723290413569, 'mean_alpha': 0.42445520006589876, 'w2': 1.004785306154778, 'w1': 0.051649142230358436, 'outer_iter': 1, 'inner_iter': 0, 'acc': [0.9994, 0.9957, 0.9855, 0.957, 0.9147, 0.87, 0.8251, 0.7822, 0.7491, 0.7163], 'clock': 757.36, 'LL': -18.549420176993102, 'mape': [0.04231280484292674, 0.06810284371298116, 0.09248940165924593, 0.11573376725606013, 0.13712782772475451, 0.15717643830457392, 0.17536272589261687, 0.19233482322804732, 0.20700491114418304, 0.22095176514580772], 'source': 'update Alpha beta', 'mape_val': [0.06109441370315493, 0.09334334581321052, 0.12175790733849544, 0.14689383566108966, 0.1698073570619119], 'time': 757.4787540435791, 'acc_val': [0.9976, 0.9882, 0.9499, 0.89, 0.8296]}
{'mean_beta': 0.43008660750002031, 'mean_alpha': 0.42017302702544929, 'w2': 1.004785306154778, 'w1': 0.051649142230358436, 'outer_iter': 1, 'inner_iter': 1, 'acc': [0.9994, 0.9957, 0.9854, 0.9565, 0.9143, 0.8693, 0.8236, 0.7812, 0.7483, 0.7152], 'clock': 849.63, 'LL': -18.556690574018852, 'mape': [0.042400314466759376, 0.06823631527612066, 0.09270505592941714, 0.11599727845144983, 0.13742856459239644, 0.157505451211171, 0.17572416225866244, 0.192718921320255, 0.20740440666786603, 0.22137663270417524], 'source': 'update Alpha beta', 'mape_val': [0.061166444749615516, 0.09352152946110066, 0.12201481323015648, 0.1472204662980068, 0.17020702822061254], 'time': 849.7571289539337, 'acc_val': [0.9977, 0.9881, 0.9496, 0.8888, 0.8277]}
{'mean_beta': 0.42486460886222249, 'mean_alpha': 0.41654716106154754, 'w2': 1.004785306154778, 'w1': 0.051649142230358436, 'outer_iter': 1, 'inner_iter': 2, 'acc': [0.9994, 0.9957, 0.9853, 0.9559, 0.9138, 0.8683, 0.8233, 0.7807, 0.7477, 0.7149], 'clock': 941.46, 'LL': -18.562429537164171, 'mape': [0.042466004623256164, 0.06833405612804777, 0.09286181824777164, 0.11618768778945121, 0.13764497547112517, 0.15774173055249816, 0.1759827090213487, 0.19299415659060876, 0.20769141740653835, 0.22168243916522043], 'source': 'update Alpha beta', 'mape_val': [0.0612170221829942, 0.09364479984450831, 0.12218866603415779, 0.14743721263274814, 0.17046966152610912], 'time': 941.6017429828644, 'acc_val': [0.9977, 0.988, 0.9488, 0.8889, 0.8271]}
{'mean_beta': 0.42109374347743922, 'mean_alpha': 0.41347218292238613, 'w2': 1.004785306154778, 'w1': 0.051649142230358436, 'outer_iter': 1, 'inner_iter': 3, 'acc': [0.9994, 0.9957, 0.9853, 0.9556, 0.9133, 0.8676, 0.8229, 0.7803, 0.7473, 0.7147], 'clock': 1032.7, 'LL': -18.567276065503631, 'mape': [0.04251719092511358, 0.0684095070590635, 0.09298157699155911, 0.11633172101168845, 0.13780730287173426, 0.15791840458940684, 0.176176007380954, 0.19319998165276453, 0.2079050509552139, 0.2219099117024558], 'source': 'update Alpha beta', 'mape_val': [0.06125410191539688, 0.09373446265791488, 0.12231207268096002, 0.14758882217127814, 0.17065122356619297], 'time': 1032.8518929481506, 'acc_val': [0.9977, 0.9882, 0.9483, 0.8887, 0.8264]}
